model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Price|Final Energy|Residential|Electricity;EUR/MWh;2019;200.00
FRESH:COM v2.0;Default scenario;Austria;Price|Secondary Energy|Electricity;EUR/MWh;2019;40.16
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 00:00+01:00;527.40
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 01:00+01:00;538.02
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 02:00+01:00;540.01
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 03:00+01:00;550.35
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 04:00+01:00;543.51
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 05:00+01:00;540.91
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 06:00+01:00;528.99
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 07:00+01:00;524.18
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 08:00+01:00;523.17
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 09:00+01:00;514.35
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 10:00+01:00;512.35
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 11:00+01:00;519.50
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 12:00+01:00;518.71
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 13:00+01:00;529.96
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 14:00+01:00;543.24
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 15:00+01:00;571.36
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 16:00+01:00;581.15
FRESH:COM v2.0;Default scenario;Austria;Emissions|CO2;kg CO2/MWh;2019-01-01 17:00+01:00;543.90
