model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Maximum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Minimum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Charge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Discharge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Active power|Electricity|Solar;kW;2019;5
FRESH:COM v2.0;Default scenario;Austria;Price|Carbon;EUR/tCO2;2019;0.1
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 00:00+01:00;0.126038798
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 01:00+01:00;0.113585107
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 02:00+01:00;0.137316084
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 03:00+01:00;0.139651953
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 04:00+01:00;0.452942839
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 05:00+01:00;0.688582879
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 06:00+01:00;1.547727508
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 07:00+01:00;1.401623567
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 08:00+01:00;1.019140024
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 09:00+01:00;1.246917626
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 10:00+01:00;1.811846241
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 11:00+01:00;3.144910057
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 12:00+01:00;3.034240502
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 13:00+01:00;1.765977996
