model;scenario;region;variable;unit;time;value
FRESH:COM v2.0;Default scenario;Austria;Maximum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Minimum Storage|Electricity|Energy Storage System;kWh;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Charge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Discharge|Electricity|Energy Storage System;kW;2019;0
FRESH:COM v2.0;Default scenario;Austria;Maximum Active power|Electricity|Solar;kW;2019;1
FRESH:COM v2.0;Default scenario;Austria;Price|Carbon;EUR/tCO2;2019;50
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 00:00+01:00;0.09724
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 01:00+01:00;0.06998
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 02:00+01:00;0.05607
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 03:00+01:00;0.05119
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 04:00+01:00;0.04817
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 05:00+01:00;0.04805
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 06:00+01:00;0.05094
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 07:00+01:00;0.06219
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 08:00+01:00;0.1101
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 09:00+01:00;0.17225
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 10:00+01:00;0.21661
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 11:00+01:00;0.25218
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 12:00+01:00;0.25707
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 13:00+01:00;0.21519
FRESH:COM v2.0;Default scenario;Austria;Final Energy|Residential and Commercial|Electricity;kWh;2019-01-01 14:00+01:00;0.16931
